ID,Nome,Sprite,Type1,Type2,HP,Attack,Defense,Special Attack,Special Defense,Speed
79,slowpoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,water,psychic,90,65,65,40,40,15
80,slowbro,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,water,psychic,95,75,110,100,80,30
81,magnemite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,electric,steel,25,35,70,95,55,45
82,magneton,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,electric,steel,50,60,95,120,70,70
83,farfetchd,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,normal,flying,52,90,55,58,62,60
84,doduo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,normal,flying,35,85,45,35,35,75
85,dodrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,normal,flying,60,110,70,60,60,110
86,seel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,water,,65,45,55,45,70,45
87,dewgong,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,water,ice,90,70,80,70,95,70
88,grimer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,poison,,80,80,50,40,50,25
89,muk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,poison,,105,105,75,65,100,50
90,shellder,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,water,,30,65,100,45,25,40
91,cloyster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,water,ice,50,95,180,85,45,70
92,gastly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,ghost,poison,30,35,30,100,35,80
93,haunter,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,ghost,poison,45,50,45,115,55,95
94,gengar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,ghost,poison,60,65,60,130,75,110
95,onix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,rock,ground,35,45,160,30,45,70
96,drowzee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,psychic,,60,48,45,43,90,42
97,hypno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,psychic,,85,73,70,73,115,67
98,krabby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,water,,30,105,90,25,25,50
99,kingler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,water,,55,130,115,50,50,75
100,voltorb,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,electric,,40,30,50,55,55,100
101,electrode,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,electric,,60,50,70,80,80,150
102,exeggcute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,grass,psychic,60,40,80,60,45,40
103,exeggutor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,grass,psychic,95,95,85,125,75,55
104,cubone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,ground,,50,50,95,40,50,35
105,marowak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,ground,,60,80,110,50,80,45
106,hitmonlee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,fighting,,50,120,53,35,110,87
107,hitmonchan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,fighting,,50,105,79,35,110,76
108,lickitung,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,normal,,90,55,75,60,75,30
109,koffing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,poison,,40,65,95,60,45,35
110,weezing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,poison,,65,90,120,85,70,60
111,rhyhorn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,ground,rock,80,85,95,30,30,25
112,rhydon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,ground,rock,105,130,120,45,45,40
113,chansey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,normal,,250,5,5,35,105,50
114,tangela,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,grass,,65,55,115,100,40,60
115,kangaskhan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,normal,,105,95,80,40,80,90
116,horsea,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,water,,30,40,70,70,25,60
117,seadra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,water,,55,65,95,95,45,85
118,goldeen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,water,,45,67,60,35,50,63
119,seaking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,water,,80,92,65,65,80,68
120,staryu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,water,,30,45,55,70,55,85
121,starmie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,water,psychic,60,75,85,100,85,115
122,mr-mime,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,psychic,fairy,40,45,65,100,120,90
123,scyther,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,bug,flying,70,110,80,55,80,105
124,jynx,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,ice,psychic,65,50,35,115,95,95
125,electabuzz,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,electric,,65,83,57,95,85,105
126,magmar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,fire,,65,95,57,100,85,93
127,pinsir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,bug,,65,125,100,55,70,85
128,tauros,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,normal,,75,100,95,40,70,110
129,magikarp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,water,,20,10,55,15,20,80
130,gyarados,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,water,flying,95,125,79,60,100,81
131,lapras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,water,ice,130,85,80,85,95,60
132,ditto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,normal,,48,48,48,48,48,48
133,eevee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,normal,,55,55,50,45,65,55
134,vaporeon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,water,,130,65,60,110,95,65
135,jolteon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,electric,,65,65,60,110,95,130
136,flareon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,fire,,65,130,60,95,110,65
137,porygon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,normal,,65,60,70,85,75,40
138,omanyte,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,rock,water,35,40,100,90,55,35
139,omastar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,rock,water,70,60,125,115,70,55
140,kabuto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,rock,water,30,80,90,55,45,55
141,kabutops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,rock,water,60,115,105,65,70,80
142,aerodactyl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,rock,flying,80,105,65,60,75,130
143,snorlax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,normal,,160,110,65,65,110,30
144,articuno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,ice,flying,90,85,100,95,125,85
145,zapdos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,electric,flying,90,90,85,125,90,100
146,moltres,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,fire,flying,90,100,90,125,85,90
147,dratini,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,dragon,,41,64,45,50,50,50
148,dragonair,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,dragon,,61,84,65,70,70,70
149,dragonite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,dragon,flying,91,134,95,100,100,80
150,mewtwo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,psychic,,106,110,90,154,90,130
151,mew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,psychic,,100,100,100,100,100,100
152,chikorita,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,grass,,45,49,65,49,65,45
153,bayleef,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,grass,,60,62,80,63,80,60
154,meganium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,grass,,80,82,100,83,100,80
155,cyndaquil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,fire,,39,52,43,60,50,65
156,quilava,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,fire,,58,64,58,80,65,80
157,typhlosion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,fire,,78,84,78,109,85,100
158,totodile,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,water,,50,65,64,44,48,43
159,croconaw,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,water,,65,80,80,59,63,58
160,feraligatr,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,water,,85,105,100,79,83,78
161,sentret,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,normal,,35,46,34,35,45,20
162,furret,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,normal,,85,76,64,45,55,90
163,hoothoot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,normal,flying,60,30,30,36,56,50
164,noctowl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,normal,flying,100,50,50,86,96,70
165,ledyba,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,bug,flying,40,20,30,40,80,55
166,ledian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,bug,flying,55,35,50,55,110,85
167,spinarak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,bug,poison,40,60,40,40,40,30
168,ariados,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,bug,poison,70,90,70,60,70,40
169,crobat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,poison,flying,85,90,80,70,80,130
170,chinchou,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,water,electric,75,38,38,56,56,67
171,lanturn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,water,electric,125,58,58,76,76,67
172,pichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,electric,,20,40,15,35,35,60
173,cleffa,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,fairy,,50,25,28,45,55,15
174,igglybuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,normal,fairy,90,30,15,40,20,15
175,togepi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,fairy,,35,20,65,40,65,20
176,togetic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,fairy,flying,55,40,85,80,105,40
177,natu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,psychic,flying,40,50,45,70,45,70
178,xatu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,psychic,flying,65,75,70,95,70,95
179,mareep,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,electric,,55,40,40,65,45,35
180,flaaffy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,electric,,70,55,55,80,60,45
181,ampharos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,electric,,90,75,85,115,90,55
182,bellossom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,grass,,75,80,95,90,100,50
183,marill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,water,fairy,70,20,50,20,50,40
184,azumarill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,water,fairy,100,50,80,60,80,50
185,sudowoodo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,rock,,70,100,115,30,65,30
186,politoed,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,water,,90,75,75,90,100,70
187,hoppip,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,grass,flying,35,35,40,35,55,50
188,skiploom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,grass,flying,55,45,50,45,65,80
189,jumpluff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,grass,flying,75,55,70,55,95,110
190,aipom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,normal,,55,70,55,40,55,85
191,sunkern,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,grass,,30,30,30,30,30,30
192,sunflora,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,grass,,75,75,55,105,85,30
193,yanma,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,bug,flying,65,65,45,75,45,95
194,wooper,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,water,ground,55,45,45,25,25,15
195,quagsire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,water,ground,95,85,85,65,65,35
196,espeon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,psychic,,65,65,60,130,95,110
197,umbreon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,dark,,95,65,110,60,130,65
198,murkrow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,dark,flying,60,85,42,85,42,91
199,slowking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,water,psychic,95,75,80,100,110,30
200,misdreavus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,ghost,,60,60,60,85,85,85
201,unown,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,psychic,,48,72,48,72,48,48
202,wobbuffet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,psychic,,190,33,58,33,58,33
203,girafarig,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,normal,psychic,70,80,65,90,65,85
204,pineco,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,bug,,50,65,90,35,35,15
205,forretress,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,bug,steel,75,90,140,60,60,40
206,dunsparce,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png,normal,,100,70,70,65,65,45
207,gligar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png,ground,flying,65,75,105,35,65,85
208,steelix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png,steel,ground,75,85,200,55,65,30
209,snubbull,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png,fairy,,60,80,50,40,40,30
210,granbull,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,fairy,,90,120,75,60,60,45
211,qwilfish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png,water,poison,65,95,85,55,55,85
212,scizor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png,bug,steel,70,130,100,55,80,65
213,shuckle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png,bug,rock,20,10,230,10,230,5
214,heracross,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png,bug,fighting,80,125,75,40,95,85
215,sneasel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png,dark,ice,55,95,55,35,75,115
216,teddiursa,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png,normal,,60,80,50,50,50,40
217,ursaring,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png,normal,,90,130,75,75,75,55
218,slugma,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png,fire,,40,40,40,70,40,20
