Nome,Type,Tipo de dano,Accuracy,Power,PP,Prioridade,Descrição p,Descrição c,Chance de efeito,Efeito,Chance de Crit,Drain,Flinch,Healing,Min attacks,Max attacks,Min Turns,Max Turns,Chance stat,Mudanca de stat,Qnt de Mudança de stat
bind,normal,physical,85.0,15.0,20.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",100.0,trap,0,0,0,0,,,5.0,6.0,0,[''],[0]
slam,normal,physical,75.0,80.0,20.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
vine-whip,grass,physical,100.0,45.0,25.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
stomp,normal,physical,100.0,65.0,20.0,0,Has a $effect_chance% chance to make the target flinch.,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",30.0,none,0,0,30,0,,,,,0,[''],[0]
double-kick,fighting,physical,100.0,30.0,30.0,0,Hits twice in one turn.,Inflicts regular damage.  Hits twice in one turn.,,none,0,0,0,0,2.0,2.0,,,0,[''],[0]
mega-kick,normal,physical,75.0,120.0,5.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
jump-kick,fighting,physical,95.0,100.0,10.0,0,"If the user misses, it takes half the damage it would have inflicted in recoil.","Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",,none,0,0,0,0,,,,,0,[''],[0]
rolling-kick,fighting,physical,85.0,60.0,15.0,0,Has a $effect_chance% chance to make the target flinch.,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,30.0,none,0,0,30,0,,,,,0,[''],[0]
sand-attack,ground,status,100.0,,15.0,0,Lowers the target’s accuracy by one stage.,Lowers the target’s accuracy by one stage.,,none,0,0,0,0,,,,,0,['accuracy'],[-1]
headbutt,normal,physical,100.0,70.0,15.0,0,Has a $effect_chance% chance to make the target flinch.,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,30.0,none,0,0,30,0,,,,,0,[''],[0]
horn-attack,normal,physical,100.0,65.0,25.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
fury-attack,normal,physical,85.0,15.0,20.0,0,Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,none,0,0,0,0,2.0,5.0,,,0,[''],[0]
horn-drill,normal,physical,30.0,,5.0,0,Causes a one-hit KO.,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",,none,0,0,0,0,,,,,0,[''],[0]
tackle,normal,physical,100.0,40.0,35.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
body-slam,normal,physical,100.0,85.0,15.0,0,Has a $effect_chance% chance to paralyze the target.,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,30.0,paralysis,0,0,0,0,,,,,0,[''],[0]
wrap,normal,physical,90.0,15.0,20.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",100.0,trap,0,0,0,0,,,2.0,4.0,0,[''],[0]
take-down,normal,physical,85.0,90.0,20.0,0,User receives 1/4 the damage it inflicts in recoil.,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,,none,0,-25,0,0,,,,,0,[''],[0]
thrash,normal,physical,100.0,120.0,10.0,0,"Hits every turn for 2-3 turns, then confuses the user.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",,none,0,0,0,0,,,,,0,[''],[0]
double-edge,normal,physical,100.0,120.0,15.0,0,User receives 1/3 the damage inflicted in recoil.,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,,none,0,-33,0,0,,,,,0,[''],[0]
tail-whip,normal,status,100.0,,30.0,0,Lowers the target’s Defense by one stage.,Lowers the target’s Defense by one stage.,,none,0,0,0,0,,,,,0,['defense'],[-1]
poison-sting,poison,physical,100.0,15.0,35.0,0,Has a $effect_chance% chance to poison the target.,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,30.0,poison,0,0,0,0,,,,,0,[''],[0]
twineedle,bug,physical,100.0,25.0,20.0,0,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,Inflicts regular damage.  Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,20.0,poison,0,0,0,0,2.0,2.0,,,0,[''],[0]
pin-missile,bug,physical,95.0,25.0,20.0,0,Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,none,0,0,0,0,2.0,5.0,,,0,[''],[0]
leer,normal,status,100.0,,30.0,0,Lowers the target’s Defense by one stage.,Lowers the target’s Defense by one stage.,100.0,none,0,0,0,0,,,,,100,['defense'],[-1]
bite,dark,physical,100.0,60.0,25.0,0,Has a $effect_chance% chance to make the target flinch.,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,30.0,none,0,0,30,0,,,,,0,[''],[0]
growl,normal,status,100.0,,40.0,0,Lowers the target’s Attack by one stage.,Lowers the target’s Attack by one stage.,,none,0,0,0,0,,,,,0,['attack'],[-1]
roar,normal,status,,,20.0,-6,Immediately ends wild battles.  Forces trainers to switch Pokémon.,"Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.

Doesn’t affect Pokémon with suction cups or under the effect of ingrain.",,none,0,0,0,0,,,,,0,[''],[0]
sing,normal,status,55.0,,15.0,0,Puts the target to sleep.,Puts the target to sleep.,,sleep,0,0,0,0,,,2.0,4.0,0,[''],[0]
supersonic,normal,status,55.0,,20.0,0,Confuses the target.,Confuses the target.,,confusion,0,0,0,0,,,2.0,5.0,0,[''],[0]
sonic-boom,normal,special,90.0,,20.0,0,Inflicts 20 points of damage.,Inflicts exactly 20 damage.,,none,0,0,0,0,,,,,0,[''],[0]
disable,normal,status,100.0,,20.0,0,Disables the target’s last used move for 1-8 turns.,"Disables the target’s last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",,disable,0,0,0,0,,,4.0,4.0,0,[''],[0]
acid,poison,special,100.0,40.0,30.0,0,Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,10.0,none,0,0,0,0,,,,,10,['special-defense'],[-1]
ember,fire,special,100.0,40.0,25.0,0,Has a $effect_chance% chance to burn the target.,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,10.0,burn,0,0,0,0,,,,,0,[''],[0]
flamethrower,fire,special,100.0,90.0,15.0,0,Has a $effect_chance% chance to burn the target.,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,10.0,burn,0,0,0,0,,,,,0,[''],[0]
mist,ice,status,,,30.0,0,Protects the user’s stats from being changed by enemy moves.,"Pokémon on the user’s side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect.",,none,0,0,0,0,,,,,0,[''],[0]
water-gun,water,special,100.0,40.0,25.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
hydro-pump,water,special,80.0,110.0,5.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
surf,water,special,100.0,90.0,15.0,0,Inflicts regular damage and can hit Dive users.,"Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power.",,none,0,0,0,0,,,,,0,[''],[0]
ice-beam,ice,special,100.0,90.0,10.0,0,Has a $effect_chance% chance to freeze the target.,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,10.0,freeze,0,0,0,0,,,,,0,[''],[0]
blizzard,ice,special,70.0,110.0,5.0,0,Has a $effect_chance% chance to freeze the target.,"Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",10.0,freeze,0,0,0,0,,,,,0,[''],[0]
psybeam,psychic,special,100.0,65.0,20.0,0,Has a $effect_chance% chance to confuse the target.,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,10.0,confusion,0,0,0,0,,,2.0,5.0,0,[''],[0]
bubble-beam,water,special,100.0,65.0,20.0,0,Has a $effect_chance% chance to lower the target’s Speed by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Speed by one stage.,10.0,none,0,0,0,0,,,,,10,['speed'],[-1]
aurora-beam,ice,special,100.0,65.0,20.0,0,Has a $effect_chance% chance to lower the target’s Attack by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Attack by one stage.,10.0,none,0,0,0,0,,,,,10,['attack'],[-1]
hyper-beam,normal,special,90.0,150.0,5.0,0,User foregoes its next turn to recharge.,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",,none,0,0,0,0,,,,,0,[''],[0]
peck,flying,physical,100.0,35.0,35.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
drill-peck,flying,physical,100.0,80.0,20.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
submission,fighting,physical,80.0,80.0,20.0,0,User receives 1/4 the damage it inflicts in recoil.,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,,none,0,-25,0,0,,,,,0,[''],[0]
low-kick,fighting,physical,100.0,,20.0,0,"Inflicts more damage to heavier targets, with a maximum of 120 power.","Inflicts regular damage.  Power increases with the target’s weight in kilograms, to a maximum of 120.

Target’s weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
",,none,0,0,0,0,,,,,0,[''],[0]
counter,fighting,physical,100.0,,20.0,-5,Inflicts twice the damage the user received from the last physical hit it took.,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",,none,0,0,0,0,,,,,0,[''],[0]
seismic-toss,fighting,physical,100.0,,20.0,0,Inflicts damage equal to the user’s level.,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",,none,0,0,0,0,,,,,0,[''],[0]
strength,normal,physical,100.0,80.0,15.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
absorb,grass,special,100.0,20.0,25.0,0,Drains half the damage inflicted to heal the user.,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,,none,0,50,0,0,,,,,0,[''],[0]
mega-drain,grass,special,100.0,40.0,15.0,0,Drains half the damage inflicted to heal the user.,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,,none,0,50,0,0,,,,,0,[''],[0]
leech-seed,grass,status,90.0,,10.0,0,"Seeds the target, stealing HP from it every turn.","Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass.",,leech-seed,0,0,0,0,,,,,0,[''],[0]
growth,normal,status,,,20.0,0,Raises the user’s Attack and Special Attack by one stage.,"Raises the user’s Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",,none,0,0,0,0,,,,,0,"['attack', 'special-attack']","[1, 1]"
razor-leaf,grass,physical,95.0,55.0,25.0,0,Has an increased chance for a critical hit.,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,,none,1,0,0,0,,,,,0,[''],[0]
solar-beam,grass,special,100.0,120.0,10.0,0,Requires a turn to charge before attacking.,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.",,none,0,0,0,0,,,,,0,[''],[0]
poison-powder,poison,status,75.0,,35.0,0,Poisons the target.,Poisons the target.,,poison,0,0,0,0,,,,,0,[''],[0]
stun-spore,grass,status,75.0,,30.0,0,Paralyzes the target.,Paralyzes the target.,,paralysis,0,0,0,0,,,,,0,[''],[0]
sleep-powder,grass,status,75.0,,15.0,0,Puts the target to sleep.,Puts the target to sleep.,,sleep,0,0,0,0,,,2.0,4.0,0,[''],[0]
petal-dance,grass,special,100.0,120.0,10.0,0,"Hits every turn for 2-3 turns, then confuses the user.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",,none,0,0,0,0,,,,,0,[''],[0]
string-shot,bug,status,95.0,,40.0,0,Lowers the target’s Speed by two stages.,Lowers the target’s Speed by two stages.,,none,0,0,0,0,,,,,0,['speed'],[-2]
dragon-rage,dragon,special,100.0,,10.0,0,Inflicts 40 points of damage.,Inflicts exactly 40 damage.,,none,0,0,0,0,,,,,0,[''],[0]
fire-spin,fire,special,85.0,35.0,15.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",100.0,trap,0,0,0,0,,,5.0,6.0,0,[''],[0]
thunder-shock,electric,special,100.0,40.0,30.0,0,Has a $effect_chance% chance to paralyze the target.,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,10.0,paralysis,0,0,0,0,,,,,0,[''],[0]
thunderbolt,electric,special,100.0,90.0,15.0,0,Has a $effect_chance% chance to paralyze the target.,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,10.0,paralysis,0,0,0,0,,,,,0,[''],[0]
thunder-wave,electric,status,90.0,,20.0,0,Paralyzes the target.,Paralyzes the target.,,paralysis,0,0,0,0,,,,,0,[''],[0]
thunder,electric,special,70.0,110.0,10.0,0,Has a $effect_chance% chance to paralyze the target.,"Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.

During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny day, this move has 50% accuracy.",30.0,paralysis,0,0,0,0,,,,,0,[''],[0]
rock-throw,rock,physical,90.0,50.0,15.0,0,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
earthquake,ground,physical,100.0,100.0,10.0,0,Inflicts regular damage and can hit Dig users.,"Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power.",,none,0,0,0,0,,,,,0,[''],[0]
fissure,ground,physical,30.0,,5.0,0,Causes a one-hit KO.,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",,none,0,0,0,0,,,,,0,[''],[0]
dig,ground,physical,100.0,80.0,10.0,0,"User digs underground, dodging all attacks, and hits next turn.","Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.",,none,0,0,0,0,,,,,0,[''],[0]
toxic,poison,status,90.0,,10.0,0,"Badly poisons the target, inflicting more damage every turn.",Badly poisons the target.  Never misses when used by a poison-type Pokémon.,,poison,0,0,0,0,,,15.0,15.0,0,[''],[0]
confusion,psychic,special,100.0,50.0,25.0,0,Has a $effect_chance% chance to confuse the target.,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,10.0,confusion,0,0,0,0,,,2.0,5.0,0,[''],[0]
psychic,psychic,special,100.0,90.0,10.0,0,Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,10.0,none,0,0,0,0,,,,,10,['special-defense'],[-1]
hypnosis,psychic,status,60.0,,20.0,0,Puts the target to sleep.,Puts the target to sleep.,,sleep,0,0,0,0,,,2.0,4.0,0,[''],[0]
meditate,psychic,status,,,40.0,0,Raises the user’s Attack by one stage.,Raises the user’s Attack by one stage.,,none,0,0,0,0,,,,,0,['attack'],[1]
agility,psychic,status,,,30.0,0,Raises the user’s Speed by two stages.,Raises the user’s Speed by two stages.,,none,0,0,0,0,,,,,0,['speed'],[2]
quick-attack,normal,physical,100.0,40.0,30.0,1,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,none,0,0,0,0,,,,,0,[''],[0]
rage,normal,physical,100.0,20.0,20.0,0,"If the user is hit after using this move, its Attack rises by one stage.","Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.",,none,0,0,0,0,,,,,0,[''],[0]
teleport,psychic,status,,,20.0,-6,Immediately ends wild battles.  No effect otherwise.,Does nothing.  Wild battles end immediately.,,none,0,0,0,0,,,,,0,[''],[0]
night-shade,ghost,special,100.0,,15.0,0,Inflicts damage equal to the user’s level.,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",,none,0,0,0,0,,,,,0,[''],[0]
mimic,normal,status,,,10.0,0,Copies the target’s last used move.,"This move is replaced by the target’s last successfully used move, and its PP changes to 5.  If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore.",,none,0,0,0,0,,,,,0,[''],[0]
screech,normal,status,85.0,,40.0,0,Lowers the target’s Defense by two stages.,Lowers the target’s Defense by two stages.,,none,0,0,0,0,,,,,0,['defense'],[-2]
double-team,normal,status,,,15.0,0,Raises the user’s evasion by one stage.,Raises the user’s evasion by one stage.,,none,0,0,0,0,,,,,0,['evasion'],[1]
recover,normal,status,,,5.0,0,Heals the user by half its max HP.,Heals the user for half its max HP.,,none,0,0,0,50,,,,,0,[''],[0]
harden,normal,status,,,30.0,0,Raises the user’s Defense by one stage.,Raises the user’s Defense by one stage.,,none,0,0,0,0,,,,,0,['defense'],[1]
minimize,normal,status,,,10.0,0,Raises the user’s evasion by two stages.,"Raises the user’s evasion by two stages.

stomp and steamroller have double power against Pokémon that have used this move since entering the field.",,none,0,0,0,0,,,,,0,['evasion'],[2]
smokescreen,normal,status,100.0,,20.0,0,Lowers the target’s accuracy by one stage.,Lowers the target’s accuracy by one stage.,,none,0,0,0,0,,,,,0,['accuracy'],[-1]
confuse-ray,ghost,status,100.0,,10.0,0,Confuses the target.,Confuses the target.,,confusion,0,0,0,0,,,2.0,5.0,0,[''],[0]
withdraw,water,status,,,40.0,0,Raises the user’s Defense by one stage.,Raises the user’s Defense by one stage.,,none,0,0,0,0,,,,,0,['defense'],[1]
defense-curl,normal,status,,,40.0,0,Raises user’s Defense by one stage.,"Raises user’s Defense by one stage.

After this move is used, the power of ice ball and rollout are doubled until the user leaves the field.",,none,0,0,0,0,,,,,0,['defense'],[1]
barrier,psychic,status,,,20.0,0,Raises the user’s Defense by two stages.,Raises the user’s Defense by two stages.,,none,0,0,0,0,,,,,0,['defense'],[2]
light-screen,psychic,status,,,30.0,0,Reduces damage from special attacks by 50% for five turns.,"Erects a barrier around the user’s side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",,none,0,0,0,0,,,,,0,[''],[0]
haze,ice,status,,,30.0,0,"Resets all Pokémon’s stats, accuracy, and evasion.","Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.

This does not count as a stat reduction for the purposes of clear body or white smoke.",,none,0,0,0,0,,,,,0,[''],[0]
reflect,psychic,status,,,20.0,0,Reduces damage from physical attacks by half.,"Erects a barrier around the user’s side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",,none,0,0,0,0,,,,,0,[''],[0]
focus-energy,normal,status,,,30.0,0,Increases the user’s chance to score a critical hit.,"User’s critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.

This effect is passed on by baton pass.",,none,0,0,0,0,,,,,0,[''],[0]
bide,normal,physical,,,10.0,1,"User waits for two turns, then hits back for twice the damage it took.","User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep talk.",,none,0,0,0,0,,,,,0,[''],[0]
metronome,normal,status,,,10.0,0,Randomly selects and uses any move in the game.,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.

This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk.",,none,0,0,0,0,,,,,0,[''],[0]
